Country,adult_literacy_rate,co2_emissions,power_consumption,gdppc,inf_mort,urban_pop,life_expectancy,net_migration,pop,hdi,net_migration_percent,region
Afghanistan,43.01972,0.245101422,,502.1154869,46.5,25.754,64.486,-314602,37172386,0.496,-0.846332544,South Asia
Albania,98.14115,1.577162624,2309.366503,5352.857411,8.6,61.229,78.458,-69998,2866376,0.791,-2.442038309,Europe & Central Asia
Algeria,81.40784,3.69915599,1362.871919,3948.343279,20,73.189,76.693,-50002,42228429,0.759,-0.118408383,Middle East & North Africa
Angola,,1.202860579,312.228825,2973.59116,50.2,66.177,60.782,32066,30809762,0.574,0.104077402,Sub-Saharan Africa
Argentina,99.00387,4.619085482,3074.702071,10006.14897,8.2,91.991,76.52,24000,44494502,0.83,0.053939248,Latin America & Caribbean
Armenia,,1.755976031,1961.610395,4622.733493,10.5,63.219,74.945,-24989,2951776,0.76,-0.846575079,Europe & Central Asia
Australia,,15.53922046,10071.39898,54907.10191,3.1,86.124,82.74878049,791229,24982688,0.938,3.16710916,East Asia & Pacific
Austria,,7.033335706,8355.841952,50277.27509,2.8,58.515,81.69268293,324998,8840521,0.914,3.676231299,Europe & Central Asia
Azerbaijan,,3.855347182,2202.393918,4793.58702,18.2,56.031,72.864,6002,9939771,0.754,0.060383685,Europe & Central Asia
Bahamas,,,,,,,,,,,,Latin America & Caribbean
Bangladesh,73.9122,0.533298791,320.2041582,1855.739824,25.6,37.405,72.32,-1847503,161356039,0.614,-1.144985345,South Asia
Belarus,99.75656,6.133707568,3679.97884,6663.295293,2.4,79.044,74.17560976,43648,9483499,0.817,0.460252065,Europe & Central Asia
Belgium,,8.550513254,7709.123078,46116.69923,2.7,98.041,81.59512195,240000,11427054,0.919,2.100278865,Europe & Central Asia
Belize,,1.542847448,,4815.163711,10.6,45.866,74.496,6000,383071,0.72,1.566289278,Latin America & Caribbean
Benin,42.3624,0.595647727,100.2251225,1219.432672,59,47.861,61.47,-10000,11485048,0.52,-0.087069728,Sub-Saharan Africa
Bhutan,,1.712274453,,,23.8,41.612,71.46,1600,754394,0.617,0.212090764,South Asia
Bolivia,,1.958514344,742.5383997,3552.068762,21.2,69.773,71.239,-47520,11353142,0.703,-0.418562544,Latin America & Caribbean
Bosnia and Herz.,,6.451938373,3446.766668,6073.265203,5.1,48.626,77.262,-107926,3323929,0.769,-3.246940593,Europe & Central Asia
Botswana,,2.935373787,1815.558069,7961.33814,32.3,70.172,69.275,14999,2254126,0.728,0.665402023,Sub-Saharan Africa
